word_reduction_type,stopwords,query_type,precision,recall
stemming_porter,1,1,0,0
stemming_porter,1,3,0.16666666666666666,1.0
stemming_porter,1,2,0.0022197558268590455,1.0
stemming_porter,1,6,0.16666666666666666,1.0
stemming_porter,1,2,0.00021868678585096495,1.0
stemming_porter,1,1,0.0,0.0
stemming_porter,1,5,0.00021869874248223073,1.0
stemming_porter,1,6,0.00035966910442392997,1.0
stemming_porter,1,5,0.00015239256324291374,0.5
stemming_porter,1,4,0.0,0.0
stemming_porter,1,6,0.0004954173891503591,1.0
stemming_porter,1,1,0.0,0.0
stemming_porter,1,6,0.0005291005291005291,1.0
stemming_porter,1,2,0.0010188487009679063,1.0
stemming_porter,1,2,0.0003497726477789437,1.0
stemming_porter,1,6,0.00018456995201181247,1.0
stemming_porter,1,1,0.0,0.0
stemming_porter,1,2,0.00031872509960159364,1.0
stemming_porter,1,3,0.00186219739292365,1.0
stemming_porter,1,4,0.0,0.0
stemming_porter,1,5,0.00031872509960159364,1.0
stemming_porter,1,4,0,0
stemming_porter,1,3,0.5,1.0
stemming_porter,1,1,0,0
stemming_porter,1,6,0.5,1.0
stemming_porter,1,5,0.0001531745423910546,0.6666666666666666
stemming_porter,1,2,0.00011804517195246714,1.0
stemming_porter,1,6,7.870297497245396e-05,1.0
stemming_porter,1,1,0.0,0.0
stemming_porter,1,2,0.00046783625730994154,1.0
stemming_porter,1,3,0.0003613151872817054,1.0
stemming_porter,1,4,0.0,0.0
stemming_porter,1,5,0.0004679457182966776,1.0
stemming_porter,1,1,0.0,0.0
stemming_porter,1,2,0.00020935831675913326,1.0
stemming_porter,1,5,0.0002097975453687192,1.0
stemming_porter,1,6,0.00027862914460852607,1.0
stemming_porter,1,2,0.0001388374676045909,1.0
stemming_porter,1,6,0.003424657534246575,1.0
stemming_porter,1,3,0.0035842293906810036,1.0
stemming_porter,1,1,0.0,0.0
stemming_porter,1,2,5.026767537135245e-05,1.0
stemming_porter,1,3,2.5847808105872622e-05,1.0
stemming_porter,1,4,0.0,0.0
stemming_porter,1,5,5.061112938735228e-05,1.0
stemming_porter,1,1,0,0
stemming_porter,1,2,0.00013235683402453013,1.0
stemming_porter,1,3,8.824178248400618e-05,1.0
stemming_porter,1,4,0,0
stemming_porter,1,5,0.000132972829218563,1.0
stemming_porter,1,1,0.0,0.0
stemming_porter,1,3,0.0008363534987454698,1.0
stemming_porter,1,2,0.0007503282686175201,1.0
stemming_porter,1,2,0.000563856780377784,1.0
stemming_porter,1,6,0.125,1.0
stemming_porter,1,1,0,0
stemming_porter,1,5,0.0005678591709256105,1.0
stemming_porter,1,6,0.0027247956403269754,1.0
stemming_porter,1,5,0.0008143322475570033,1.0
